Institution,GradRate,PellGradRate,FinAidAward,FinAidAvg,PellGrantAward,PellGrantAvg,InStatePrice,OutStatePrice,Enrollment,Urbanization
Salisbury University,50,63,89,5509,24,4690,25062,34102,8713,23
Sam Houston State University,30,48,89,7776,44,4677,21824,31784,20938,32
San Diego State University,36,69,60,8006,24,4967,28224,40104,35135,11
San Francisco State University,22,53,81,9252,51,4927,26719,38599,29758,11
San Jose State University,14,64,74,9363,43,4813,28166,40046,35835,11
Savannah State University,11,27,97,8884,82,5054,16999,27460,4429,12
Shawnee State University,16,23,99,5092,47,4415,20910,26718,3582,31
Shepherd University,30,40,94,7832,39,4710,21031,31572,3736,31
Shippensburg University of Pennsylvania,35,44,90,6733,37,4517,28200,36300,6570,31
Slippery Rock University of Pennsylvania,50,59,93,6019,34,4377,24377,28365,8866,32
Sonoma State University,30,56,72,8399,36,4716,26034,37914,9481,21
South Carolina State University,16,31,94,9041,80,4884,29740,40120,2942,32
South Dakota School of Mines and Technology,16,47,93,4423,22,3977,24590,28770,2778,13
South Dakota State University,36,46,92,4356,25,4013,22804,26052,12516,33
Southeast Missouri State University,28,39,96,7330,38,4652,21004,26539,11486,13
Southeastern Louisiana University,17,28,94,8689,44,4649,21677,34155,14285,13
Southeastern Oklahoma State University,18,28,95,9158,50,4454,17620,26260,4006,32
Southern Arkansas University Main Campus,26,37,98,8977,54,4802,22569,26379,4643,33
Southern Connecticut State University,23,45,87,6117,42,4718,25837,38525,10202,12
Southern Illinois University-Carbondale,26,29,93,11738,45,4886,28595,42770,14554,13
Southern Illinois University-Edwardsville,26,37,94,9053,39,4963,24616,37774,13796,21
Southern Oregon University,22,32,84,5432,33,4424,26748,42091,6191,22
Southern University and A & M College,9,22,98,7459,79,5152,23377,32791,6118,12
Southern University at New Orleans,7,21,93,6726,84,3816,20539,29440,2546,11
Southern Utah University,21,42,93,7798,30,4589,20143,33755,9468,33
Southwest Minnesota State University,33,34,92,5850,37,4432,20776,20776,7154,33
Southwestern Oklahoma State University,21,29,93,7704,44,4770,19933,26833,5448,33
St. Mary's College of Maryland,72,84,94,9177,20,4120,29678,45130,1573,23
State University of New York at New Paltz,60,72,83,9634,39,5019,24230,34080,7565,21
Stephen F Austin State University,30,44,85,8881,43,4839,21276,31236,12614,33
Stockton University,57,70,89,10190,39,4731,30281,37234,9216,22
Stony Brook University,55,76,78,10162,36,5149,25471,42981,25989,21
Sul Ross State University,13,26,93,8269,64,4723,22282,34732,2946,33
SUNY at Albany,55,64,83,9743,44,4992,25682,40562,17743,13
SUNY at Fredonia,47,57,97,8211,50,4433,23597,33247,4630,32
SUNY at Purchase College,54,58,80,8679,42,4694,26352,36002,4167,21
SUNY Buffalo State,30,46,93,9069,66,4713,25208,34858,9516,11
SUNY College at Brockport,50,63,90,7946,42,4397,24126,33776,8313,31
SUNY College at Geneseo,72,72,81,7269,28,4434,25122,34740,5652,32
SUNY College at Old Westbury,23,51,86,9537,59,5042,23363,33013,4910,21
SUNY College at Oswego,50,59,96,8087,46,4756,24131,33781,8026,32
SUNY College at Plattsburgh,51,63,95,10172,47,4791,24648,34298,5719,32
SUNY College at Potsdam,39,53,96,9548,57,4879,24113,33763,3587,33
SUNY College of Agriculture and Technology at Cobleskill,42,38,94,8420,63,4202,24813,34463,2291,32
SUNY College of Environmental Science and Forestry,65,75,95,7322,25,4538,27303,36953,2213,12
SUNY Cortland,53,65,86,8218,32,4561,24879,34529,6913,32
SUNY Empire State College,18,24,94,7468,76,4638,,,10977,23
SUNY Maritime College,45,59,75,7263,16,4936,25308,34958,1794,11
SUNY Oneonta,63,67,83,8799,34,4623,24162,33812,6358,33
SUNY Polytechnic Institute,44,51,97,8264,46,4609,23838,33488,2912,22
Tarleton State University,28,41,89,8002,39,4792,20387,30131,13019,33
Temple University,49,67,90,9873,28,4564,32430,44190,39937,11
Tennessee State University,0,26,97,9394,73,4948,21276,34632,8177,11
Tennessee Technological University,29,47,98,8366,39,4512,26513,42377,10504,33
